date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-03-13,387030.99365298194,387494.97564447793,True,479650.7911032606,False,0.0,479186.8091117646,39095.941491936544,831093.5254921323,827585.843264306,
2025-03-14,479186.8091117646,352369.0484168981,True,387790.80871105514,False,0.0,514608.5694059216,38426.192957935986,830751.6118499206,828551.4248648838,
2025-03-15,514608.5694059216,161844.7716494327,True,353085.5639788388,False,0.0,705849.3617353278,39233.33057804388,830044.0736018296,828460.8028067165,
2025-03-16,705849.3617353278,258299.23580178237,True,164733.68782343104,False,0.0,612283.8137569764,39476.06672570849,830448.7040739361,831106.9828330503,
2025-03-17,612283.8137569764,298454.71745919413,True,255723.61874267753,False,0.0,569552.7150404598,38893.420291856186,829413.2537957208,829114.0122077977,
2025-03-18,569552.7150404598,291298.4954272623,True,297053.61982776906,False,0.0,575307.8394409665,39508.50742213328,829179.4543715543,827097.8274460955,
2025-03-19,575307.8394409665,402190.6778694654,True,289874.4893599004,False,0.0,462991.65093140147,38430.59995593159,828292.9912654279,826751.7288449353,
2025-03-20,462991.65093140147,344896.71246879234,True,404557.3373431994,False,0.0,522652.2758058085,39625.785270158005,828429.6882038587,827923.2030044429,
2025-03-21,522652.2758058085,226436.43681122115,True,344191.8434601068,False,0.0,640407.6824546942,39369.32410307139,827746.2061856955,827474.7951628439,
2025-03-22,640407.6824546942,117653.84462280526,True,223697.5961390933,False,0.0,746451.4339709822,39230.54489174989,827357.7733708618,824874.7337020376,
2025-03-23,746451.4339709822,146356.48143397705,True,120084.54943303831,False,0.0,720179.5019700435,39206.61178724685,827173.4026277212,827329.3716167737,
2025-03-24,720179.5019700435,395234.6758074944,True,143699.67859843504,False,0.0,468644.50476098416,39923.737607246636,827112.689561111,823955.4429612319,
2025-03-25,468644.50476098416,343034.82128524064,True,395040.50538491824,False,0.0,520650.18886066176,39743.13553741935,826779.4640173777,823941.874608483,
2025-03-26,520650.18886066176,307293.1502389621,True,343047.32761181484,False,0.0,556404.3662335144,38618.524353859175,825155.9839834982,825078.9921186174,
2025-03-27,556404.3662335144,280044.54728857,True,307444.68702965276,False,0.0,583804.5059745972,39219.92961864905,825222.7087358739,824629.1236445181,
2025-03-28,583804.5059745972,405421.9687406081,True,277533.8921002386,False,0.0,455916.4293342277,38608.30933534401,824426.0059988262,822730.0887394918,
2025-03-29,455916.4293342277,205446.6355450196,True,403631.9742972091,False,0.0,654101.7680864172,38515.47803131638,823825.7673702928,821032.9256001204,
2025-03-30,654101.7680864172,179314.34259417493,True,205660.35000324945,False,0.0,680447.7754954918,38588.11448919746,823307.6160159133,821174.0036004692,
