date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-01-18,325047.4856780609,9807065.313742742,True,7845204.429023417,True,1636813.3990412643,0.0,,,,8170251.914701478
2025-01-19,0.0,17838426.68786461,True,8123381.213571154,True,9715045.474293455,0.0,,,,8123381.213571154
2025-01-20,0.0,15980055.410554076,True,8362348.106744787,True,7617707.303809289,0.0,,,,8362348.106744787
2025-01-21,0.0,9858730.398790348,True,8446605.77211801,True,1412124.6266723387,0.0,,,,8446605.77211801
2025-01-22,0.0,6842495.090263683,True,8327199.898320269,False,0.0,1484704.8080565855,,,,8327199.898320269
2025-01-23,1484704.8080565855,9721828.918967867,True,6956582.5795554295,True,1280541.5313558523,0.0,,,,8441287.387612015
2025-01-24,0.0,7728630.042203354,True,8539387.997015383,False,0.0,810757.9548120294,,,,8539387.997015383
2025-01-25,810757.9548120294,4143261.7845861088,True,7635669.820930148,False,0.0,4303165.991156068,,,,8446427.775742177
2025-01-26,4303165.991156068,4471856.702089126,True,4041870.3868369283,False,0.0,3873179.67590387,,,,8345036.377992996
2025-01-27,3873179.67590387,12398072.74069589,True,4772080.859962536,True,3752812.204829484,0.0,,,,8645260.535866406
2025-01-28,0.0,6733002.405742435,True,8745001.506296268,False,0.0,2011999.100553833,,,,8745001.506296268
2025-01-29,2011999.100553833,7300929.388954017,True,6705944.797920607,False,0.0,1417014.5095204227,,,,8717943.89847444
2025-01-30,1417014.5095204227,6145245.552951096,True,7296899.931313178,False,0.0,2568668.8878825046,,,,8713914.4408336
2025-01-31,2568668.8878825046,9134534.263662226,True,6324968.1760981735,True,240897.1996815484,0.0,,,,8893637.063980678
2025-02-01,0.0,6387238.020447715,True,8891526.035127712,False,0.0,2504288.014679997,,,,8891526.035127712
2025-02-02,2504288.014679997,14662054.181130718,True,6702331.981285674,True,5455434.185165048,0.0,,,,9206619.99596567
2025-02-03,0.0,32051106.61612899,True,10220827.711957855,True,21830278.90417113,0.0,,,,10220827.711957855
2025-02-04,0.0,17840717.111442972,True,10745534.62758777,True,7095182.483855203,0.0,,,,10745534.62758777
2025-02-05,0.0,11464597.388251228,True,10927593.71829627,True,537003.6699549574,0.0,,,,10927593.71829627
2025-02-06,0.0,10973306.073312271,True,10980418.654626774,False,0.0,7112.581314502284,,,,10980418.654626774
2025-02-07,7112.581314502284,11260215.662541036,True,11007670.283330657,True,245432.7978958767,0.0,,,,11014782.864645159
2025-02-08,0.0,6480723.687455359,True,10924221.984010216,False,0.0,4443498.296554857,,,,10924221.984010216
2025-02-09,4443498.296554857,6663730.004256986,True,6427643.274769952,False,0.0,4207411.567067822,,,,10871141.571324809
2025-02-10,4207411.567067822,7295374.529705355,True,6799716.814060558,False,0.0,3711753.851423025,,,,11007128.38112838
2025-02-11,3711753.851423025,8128437.43151854,True,7462648.614715323,False,0.0,3045965.034619808,,,,11174402.466138348
2025-02-12,3045965.034619808,9835714.605152328,True,8022350.693566814,False,0.0,1232601.1230342947,,,,11068315.728186622
2025-02-13,1232601.1230342947,7280162.107977402,True,9842780.328873556,False,0.0,3795219.3439304484,,,,11075381.45190785
2025-02-14,3795219.3439304484,6504656.779855331,True,7242469.845442857,False,0.0,4533032.409517974,,,,11037689.189373305
2025-02-15,4533032.409517974,4010684.7819131664,True,6359171.505519634,False,0.0,6881519.133124441,,,,10892203.915037608
2025-02-16,6881519.133124441,3977598.7690861314,True,3858897.456754474,False,0.0,6762817.820792783,,,,10740416.589878915
2025-02-17,6762817.820792783,8811033.704927651,True,3941077.610096244,False,0.0,1892861.725961376,,,,10703895.430889027
2025-02-18,1892861.725961376,8617921.542587025,True,8472948.516267473,False,0.0,1747888.6996418238,,,,10365810.242228849
2025-02-19,1747888.6996418238,5623597.101879053,True,8238184.73793561,False,0.0,4362476.335698381,,,,9986073.437577434
2025-02-20,4362476.335698381,5808399.460250914,True,5475084.967465939,False,0.0,4029161.842913406,,,,9837561.30316432
2025-02-21,4029161.842913406,11821652.997238742,True,5990968.583506666,True,1801522.57081867,0.0,,,,10020130.426420072
2025-02-22,0.0,5934511.770749084,True,9881262.130985383,False,0.0,3946750.360236299,,,,9881262.130985383
2025-02-23,3946750.360236299,7263918.204650415,True,5917472.336705477,False,0.0,2600304.492291361,,,,9864222.696941776
2025-02-24,2600304.492291361,11586893.859850598,True,7536851.380743446,True,1449737.9868157916,0.0,,,,10137155.873034807
2025-02-25,0.0,16059075.320253521,True,10562020.555700833,True,5497054.764552688,0.0,,,,10562020.555700833
2025-02-26,0.0,12359295.174682999,True,10560598.711613694,True,1798696.4630693048,0.0,,,,10560598.711613694
2025-02-27,0.0,10534104.551023036,True,10699972.456940651,False,0.0,165867.9059176147,,,,10699972.456940651
2025-02-28,165867.9059176147,15969355.40176164,True,10851946.838159315,True,4951540.65768471,0.0,,,,11017814.74407693
2025-03-01,0.0,7279140.564576996,True,11059390.894503212,False,0.0,3780250.329926216,,,,11059390.894503212
2025-03-02,3780250.329926216,13832705.805129493,True,7451406.854430796,True,2601048.620772481,0.0,,,,11231657.184357012
2025-03-03,0.0,14669063.981226796,True,11535324.136252245,True,3133739.8449745513,0.0,,,,11535324.136252245
2025-03-04,0.0,15638480.0298277,True,11571126.417371135,True,4067353.6124565657,0.0,,,,11571126.417371135
2025-03-05,0.0,9859793.30703717,True,10757444.929371102,False,0.0,897651.6223339327,,,,10757444.929371102
2025-03-06,897651.6223339327,8403752.105899066,True,9513771.256833892,False,0.0,2007670.7732687593,,,,10411422.879167825
2025-03-07,2007670.7732687593,10484302.667066151,True,8367807.966122279,True,108823.92767511308,0.0,,,,10375478.739391038
2025-03-08,0.0,4784535.886358198,True,10148557.165869392,False,0.0,5364021.279511195,,,,10148557.165869392
2025-03-09,5364021.279511195,7990023.241454951,True,4664628.830918372,False,0.0,2038626.868974615,,,,10028650.110429566
2025-03-10,2038626.868974615,18808285.590923376,True,8442033.84458211,True,8327624.877366651,0.0,,,,10480660.713556726
2025-03-11,0.0,16094208.821290273,True,10826444.93684795,True,5267763.884442324,0.0,,,,10826444.93684795
2025-03-12,0.0,11995327.856378017,True,10998776.55882595,True,996551.2975520678,0.0,,,,10998776.55882595
2025-03-13,0.0,9649768.584871933,True,11054558.701115571,False,0.0,1404790.116243638,,,,11054558.701115571
2025-03-14,1404790.116243638,6348741.256922007,True,9521912.89543682,False,0.0,4577961.754758451,,,,10926703.011680458
2025-03-15,4577961.754758451,3332560.3433120134,True,6203995.858884275,False,0.0,7449397.270330712,,,,10781957.613642726
2025-03-16,7449397.270330712,4923611.859220115,True,3274588.6962220594,False,0.0,5800374.107332657,,,,10723985.966552772
2025-03-17,5800374.107332657,5416126.735568866,True,4975144.730854153,False,0.0,5359392.102617944,,,,10775518.83818681
2025-03-18,5359392.102617944,5262931.971332913,True,5463255.619651249,False,0.0,5559715.750936279,,,,10822647.722269192
2025-03-19,5559715.750936279,9751046.428626547,True,5297399.104535207,False,0.0,1106068.4268449396,,,,10857114.855471486
2025-03-20,1106068.4268449396,6668617.506103762,True,9679571.947288826,False,0.0,4117022.8680300033,,,,10785640.374133766
2025-03-21,4117022.8680300033,4940905.241308246,True,6643585.471216167,False,0.0,5819703.097937925,,,,10760608.33924617
2025-03-22,5819703.097937925,3089353.3360194867,True,4841206.883419761,False,0.0,7571556.6453382,,,,10660909.981357686
2025-03-23,7571556.6453382,3751230.603516525,True,2793437.848249672,False,0.0,6613763.890071347,,,,10364994.493587872
2025-03-24,6613763.890071347,6760555.6424837895,True,3781518.8788134623,False,0.0,3634727.12640102,,,,10395282.76888481
2025-03-25,3634727.12640102,5675530.672276087,True,6702314.766296729,False,0.0,4661511.220421663,,,,10337041.89269775
2025-03-26,4661511.220421663,6559124.810344365,True,5491179.14046086,False,0.0,3593565.550538157,,,,10152690.360882523
2025-03-27,3593565.550538157,5789812.755878569,True,6182585.182983951,False,0.0,3986337.977643539,,,,9776150.733522108
2025-03-28,3986337.977643539,9580848.551362574,True,5687936.379690153,False,0.0,93425.80597111769,,,,9674274.357333692
2025-03-29,93425.80597111769,6673581.912038205,True,9439296.054599797,False,0.0,2859139.94853271,,,,9532721.860570915
2025-03-30,2859139.94853271,5456071.047886253,True,6288094.819062773,False,0.0,3691163.7197092297,,,,9147234.767595483
2025-03-31,3691163.7197092297,8645573.9064091,True,5506173.603753432,False,0.0,551763.4170535617,,,,9197337.323462661
2025-04-01,551763.4170535617,7872625.395417977,True,8427037.624719676,False,0.0,1106175.6463552602,,,,8978801.041773237
2025-04-02,1106175.6463552602,12584846.864589237,True,7796204.101141268,True,3682467.117092708,0.0,,,,8902379.747496529
2025-04-03,0.0,9060716.705568621,True,8661195.092273695,True,399521.61329492554,0.0,,,,8661195.092273695
2025-04-04,0.0,9949523.792341532,True,8664485.210068189,True,1285038.5822733436,0.0,,,,8664485.210068189
2025-04-05,0.0,3529793.3789439653,True,8485773.390079834,False,0.0,4955980.011135869,,,,8485773.390079834
2025-04-06,4955980.011135869,14050898.564492889,True,3660568.5618496127,True,5434349.991507407,0.0,,,,8616548.572985481
2025-04-07,0.0,29624964.8965282,True,9527364.303358382,True,20097600.593169816,0.0,,,,9527364.303358382
2025-04-08,0.0,14475072.518959427,True,9765149.443533547,True,4709923.07542588,0.0,,,,9765149.443533547
2025-04-09,0.0,23531926.65390765,True,9938349.61584297,True,13593577.03806468,0.0,,,,9938349.61584297
2025-04-10,0.0,14042259.65778273,True,9863111.479847692,True,4179148.1779350378,0.0,,,,9863111.479847692
2025-04-11,0.0,9489736.718340445,True,9771239.804786315,False,0.0,281503.0864458699,,,,9771239.804786315
2025-04-12,281503.0864458699,7368898.4024624275,True,9406104.811652096,False,0.0,2318709.4956355384,,,,9687607.898097966
2025-04-13,2318709.4956355384,8711727.047531469,True,7455541.214784776,False,0.0,1062523.6628888454,,,,9774250.710420314
2025-04-14,1062523.6628888454,10179092.62418865,True,8962766.564496946,True,153802.39680285938,0.0,,,,10025290.227385791
2025-04-15,0.0,8293581.631029231,True,10148855.785685457,False,0.0,1855274.1546562267,,,,10148855.785685457
2025-04-16,1855274.1546562267,9720277.282675937,True,8451400.484423157,False,0.0,586397.3564034477,,,,10306674.639079383
2025-04-17,586397.3564034477,7148066.514743484,True,9789398.882600993,False,0.0,3227729.724260957,,,,10375796.23900444
2025-04-18,3227729.724260957,4483225.291249526,True,6954913.073039657,False,0.0,5699417.506051089,,,,10182642.797300614
2025-04-19,5699417.506051089,4444191.917211632,True,4401663.019656814,False,0.0,5656888.60849627,,,,10101080.525707902
2025-04-20,5656888.60849627,4814309.10862776,True,4439550.059013349,False,0.0,5282129.558881859,,,,10096438.66750962
2025-04-21,5282129.558881859,9750869.933882562,True,5058564.71721607,False,0.0,589824.3422153667,,,,10340694.27609793
2025-04-22,589824.3422153667,13513622.970238874,True,10108824.320662385,True,2814974.307361122,0.0,,,,10698648.662877752
2025-04-23,0.0,12752402.752182696,True,10918349.72356671,True,1834053.028615987,0.0,,,,10918349.72356671
2025-04-24,0.0,8592570.16325581,True,11025307.838235967,False,0.0,2432737.674980156,,,,11025307.838235967
2025-04-25,2432737.674980156,9772227.655432489,True,8710383.934242375,False,0.0,1370893.9537900425,,,,11143121.609222531
2025-04-26,1370893.9537900425,6546190.003280703,True,9799961.487837235,False,0.0,4624665.438346574,,,,11170855.441627277
2025-04-27,4624665.438346574,6315000.948018914,True,6426442.257824767,False,0.0,4736106.748152427,,,,11051107.696171341
2025-04-28,4736106.748152427,9474732.923569275,True,6417709.818441721,False,0.0,1679083.643024873,,,,11153816.566594148
2025-04-29,1679083.643024873,8189449.245171485,True,9574956.790803067,False,0.0,3064591.188656456,,,,11254040.43382794
2025-04-30,3064591.188656456,8256569.601414614,True,8175185.753988353,False,0.0,2983207.341230194,,,,11239776.942644808
2025-05-01,2983207.341230194,8623997.829575991,True,8284119.924000406,False,0.0,2643329.4356546085,,,,11267327.2652306
2025-05-02,2643329.4356546085,7364255.6028539175,True,8432576.149979033,False,0.0,3711649.9827797236,,,,11075905.585633641
2025-05-03,3711649.9827797236,4550262.774522617,True,7198872.2920488985,False,0.0,6360259.500306005,,,,10910522.274828622
2025-05-04,6360259.500306005,4931443.271364127,True,4366266.488753445,False,0.0,5795082.717695323,,,,10726525.98905945
2025-05-05,5795082.717695323,6258917.445277448,True,5031511.153796355,False,0.0,4567676.42621423,,,,10826593.871491678
2025-05-06,4567676.42621423,7275966.658557285,True,6010503.2753931405,False,0.0,3302213.043050086,,,,10578179.70160737
2025-05-07,3302213.043050086,27898304.490284745,True,7212655.776995026,True,17383435.670239635,0.0,,,,10514868.820045112
2025-05-08,0.0,17120776.999033846,True,10611877.984314507,True,6508899.014719339,0.0,,,,10611877.984314507
2025-05-09,0.0,18659514.051859867,True,10433222.855572756,True,8226291.19628711,0.0,,,,10433222.855572756
2025-05-10,0.0,11719969.193274507,True,10348072.205207454,True,1371896.9880670533,0.0,,,,10348072.205207454
2025-05-11,0.0,10555322.136100855,True,10387143.670525335,True,168178.46557551995,0.0,,,,10387143.670525335
2025-05-12,0.0,12867284.269512955,True,10588751.152317187,True,2278533.1171957683,0.0,,,,10588751.152317187
2025-05-13,0.0,12510119.326397585,True,10728025.535875611,True,1782093.7905219737,0.0,,,,10728025.535875611
2025-05-14,0.0,10192349.4640072,True,10728511.62000229,False,0.0,536162.1559950896,,,,10728511.62000229
2025-05-15,536162.1559950896,10459044.060010394,True,10271749.753069848,False,0.0,348867.8490545433,,,,10807911.909064937
2025-05-16,348867.8490545433,8397637.446281455,True,10410547.26600926,False,0.0,2361777.668782348,,,,10759415.115063803
2025-05-17,2361777.668782348,7606047.785513609,True,8414430.092876362,False,0.0,3170159.976145101,,,,10776207.76165871
2025-05-18,3170159.976145101,10009137.83195842,True,7808664.578672935,False,0.0,969686.7228596155,,,,10978824.554818036
2025-05-19,969686.7228596155,10814364.783232188,True,10242710.837045839,False,0.0,398032.77667326666,,,,11212397.559905455
2025-05-20,398032.77667326666,9291487.42529756,True,10978527.988176748,False,0.0,2085073.3395524547,,,,11376560.764850015
2025-05-21,2085073.3395524547,12519027.397996673,True,9392986.532315075,True,1040967.5261291433,0.0,,,,11478059.87186753
2025-05-22,0.0,9983262.445676826,True,11348613.319300257,False,0.0,1365350.8736234307,,,,11348613.319300257
2025-05-23,1365350.8736234307,12086761.996822283,True,9958855.617980275,True,762555.5052185766,0.0,,,,11324206.491603706
2025-05-24,0.0,4497230.657946866,True,11174044.043075712,False,0.0,6676813.385128846,,,,11174044.043075712
2025-05-25,6676813.385128846,5704458.501289845,True,4348079.12229497,False,0.0,5320434.006133971,,,,11024892.507423816
2025-05-26,5320434.006133971,5825196.427557037,True,5678022.070179979,False,0.0,5173259.648756913,,,,10998456.07631395
2025-05-27,5173259.648756913,9862377.733075393,True,5955266.909675774,False,0.0,1266148.8253572937,,,,11128526.558432687
2025-05-28,1266148.8253572937,7116275.570337866,True,9775900.963456908,False,0.0,3925774.2184763355,,,,11042049.788814202
2025-05-29,3925774.2184763355,10471361.443374297,True,7199945.68427197,False,0.0,654358.4593740087,,,,11125719.902748305
2025-05-30,654358.4593740087,9723301.30553761,True,10525141.605858805,False,0.0,1456198.759695204,,,,11179500.065232813
2025-05-31,1456198.759695204,5532764.012834268,True,9609956.065590413,False,0.0,5533390.81245135,,,,11066154.825285617
2025-06-01,5533390.81245135,5239139.194949207,True,5454843.077877762,False,0.0,5749094.6953799045,,,,10988233.890329111
2025-06-02,5749094.6953799045,6422532.869783515,True,5307789.0984421065,False,0.0,4634350.924038496,,,,11056883.793822011
2025-06-03,4634350.924038496,7053298.173496028,True,6500334.216195017,False,0.0,4081386.9667374846,,,,11134685.140233513
2025-06-04,4081386.9667374846,7138274.789219506,True,7085541.276107239,False,0.0,4028653.453625217,,,,11166928.242844723
2025-06-05,4028653.453625217,10840797.236156913,True,7268985.243731491,False,0.0,456841.4611997958,,,,11297638.697356708
2025-06-06,456841.4611997958,7834446.195050751,True,10105122.431998333,False,0.0,2727517.698147378,,,,10561963.893198129
2025-06-07,2727517.698147378,4616773.635414993,True,7375966.071718059,False,0.0,5486710.134450443,,,,10103483.769865436
2025-06-08,5486710.134450443,4818078.823899689,True,4109254.343723122,False,0.0,4777885.654273876,,,,9595964.478173565
2025-06-09,4777885.654273876,7684147.394787123,True,4670098.691288483,False,0.0,1763836.950775236,,,,9447984.34556236
